provincia,densidad_poblacional_hab_km2,numero_habitantes
Ciudad de Buenos Aires,14450.8,2890151
Tucuman,64.3,1448188
Buenos Aires,50.8,15625084
Misiones,37.0,1101593
Santa Fe,24.0,3194537
CÃ³rdoba,20.0,3308876
Entre Rios,15.7,1235994
Jujuy,12.7,673307
Mendoza,11.7,1738929
Corrientes,11.3,992595
Chaco,10.6,1055259
Salta,7.8,1214441
San Juan,7.6,681055
Formosa,7.4,530162
Santiago del Estero,6.4,874006
Neuquen,5.9,551266
San Luis,5.6,432310
La Rioja,3.7,333642
Catamarca,3.6,367828
Rio Negro,3.1,638645
Chubut,2.3,509108
La Pampa,2.2,318951
Santa Cruz,1.1,273964
Tierra del Fuego,0.1,127205
